ride_id,"Number of duplicated ride_id"
021A73F8C18B932D,2
0334987B57662109,2
038CAB4A84D9A56B,2
0425DA22910BD202,2
05498BABECEB55B0,2
06AD9EC9352D7A00,2
0852F31B41CB650D,2
0A2B0949201A9D0C,2
0A4365A64FF49318,2
0C3CB45FD307654C,2
0D2F17BB81A7EBEA,2
0E626D426A862789,2
10AE33C50AE4DC7D,2
10C0DB0336A0CF6C,2
11C4A286C57B4D61,2
1430E6C2ACE16486,2
143FF4F0F0F8B80F,2
15DBA8BC83142F7A,2
165F7B547D1CFAC0,2
16DA1665709BCE89,2
182143F750493919,2
18B3779B78871E64,2
194FB266E3663610,2
1AA11B4F83CC59B3,2
1C056F8AB4E72F09,2
1C98582D7D902770,2
1F263381957861B3,2
203E4F607EB792FC,2
214A29191EEB053A,2
214DC5EC1259E1FB,2
215F720DB7868C39,2
217A18F12A1EBD25,2
2233117C40C5F490,2
23320C9F417B5984,2
2338C9919E9781DC,2
241E4DAC0F50F9C5,2
243BA5BDD64F3F42,2
251ECEE1C19E8FD2,2
274C073E4F96B726,2
282A7A754D3C0B74,2
286E58C4B46877DE,2
29A5063EED77B728,2
2DC5D43E1AD8FD06,2
2EDD39499F0C1ACB,2
321F7AE3AEDBAA13,2
325F6C4D5B72134A,2
328EAA0F5E1CFB70,2
332340BB61D42B3C,2
33859D20A072EB2E,2
356CDAEABC16654A,2
3599D100A81566B3,2
36A50712105E0467,2
3C8888090D42A63F,2
3EF860643BF00063,2
3F2C8BD6CB092175,2
3FD79779825A0D6A,2
40C8B01349825049,2
40E1450346997098,2
45D418DA3A465EB8,2
461DB5E36ADBF190,2
47E0C01E8F7BD830,2
48337C05EB173128,2
4AE7C88494448250,2
4C052F67AC07F393,2
4D730AA5014193E8,2
4EBFA8DB900D19A0,2
4EDB8A26F78B8C2F,2
4F4137E3BB7D99FA,2
4F84789858A19144,2
50031BC4290040DF,2
50996BF47123D0B6,2
521737D9B8EE1A6A,2
52C655580214D2EF,2
534652A720619C22,2
53E367299911D267,2
582AF2B79478F949,2
592C4DB2BDF081DE,2
5A0D169EFA5A7C4A,2
5B658501758DF1F1,2
5B6C491CD72EF4FA,2
5BE1706282491560,2
5E3AF84B27A66B55,2
5EE680AA8D46F8B8,2
6026FEA994087456,2
61C3FB1967EE35BC,2
629AD990ACBA3286,2
63EBA1B194A4AA88,2
672B7A02CB77D7C9,2
69D4D06FA52B1016,2
6A6C1134491E8C06,2
6AF808055D3CD280,2
6C1279812BD9D0C2,2
6C4A286E978E31B7,2
6D233DAFDBB4BB08,2
6FA7E6905E98728A,2
7029018039FE783C,2
7074FF42B83EC6AD,2
70F458C5AAE4C49F,2
71D889A3D2174E79,2
7247F76EE11C8B97,2
7278BBD33ACDBC38,2
74A6CD02253E3753,2
74FFBAB75C9D9A85,2
7548F4E07CA53AC6,2
765BD3B63F41619A,2
7709D2963B4A7327,2
781309C4E595619D,2
789640C9FEF98525,2
79787C8D14B8FAEA,2
7D1024C3481FC715,2
7D74C6E84EAA5888,2
7D976ABAC410399D,2
7E1C776BE54E1D14,2
7E4A23C73E16B67B,2
7ECB5E418A298B9B,2
7ECFE66F1EEA71F0,2
840CCB466190D543,2
840F04F527426550,2
84EEACD1FE641F30,2
8621E905EF481E58,2
86880707160887F5,2
86E0216311A75D74,2
8758E473B457691C,2
878F31D24CCD5677,2
87D4C892CA85DB8F,2
87FA04EB1EE57804,2
8845B3D51C97E104,2
8AB24E4BDCB90940,2
8F46132F5095A1C4,2
8FE484F4002A8D95,2
901A1431D8CED7A5,2
907A7B909C3065E8,2
934AEDB1B6C094EC,2
948103184D2F36B2,2
9972AB4C17796353,2
99BE5F7298A6460C,2
99E4DD1936FA4B11,2
9A09A8784A8142DE,2
9B4C1DCB313DE754,2
9C8E204049A6C5D9,2
9E6A422E4B6BA92A,2
9F730232AF5E9D5C,2
A02255629A1C77CB,2
A06081D710E765D1,2
A08B4A7018A2C588,2
A0B853B568A10E72,2
A15CCE3AD80A6FEF,2
A180F0B9240F6660,2
A2182A1D29AF94D1,2
A36C10BA7789BE4A,2
A4322BE60B7192CA,2
AA12FC6B678AD597,2
AAE40A06C43EC39A,2
AD04080D5E8797AD,2
AD437448222E3301,2
AE0F8255162BBD39,2
AF894E23F6CF2F47,2
B2643DEB23A42D6A,2
